condition_number,model,frame,decision,claude_coded_ev,gpt4o_coded_ev
1,o3-2025-04-16,loss_frame,blitz,True,True
2,o3-2025-04-16,loss_frame,blitz,True,True
3,o3-2025-04-16,loss_frame,blitz,True,True
4,o3-2025-04-16,loss_frame,blitz,True,True
5,o3-2025-04-16,loss_frame,blitz,False,False
6,o3-2025-04-16,loss_frame,control,True,True
7,o3-2025-04-16,loss_frame,blitz,False,False
8,o3-2025-04-16,loss_frame,blitz,True,True
9,o3-2025-04-16,loss_frame,blitz,False,True
10,o3-2025-04-16,loss_frame,blitz,True,True
11,o3-2025-04-16,loss_frame,blitz,False,True
12,o3-2025-04-16,loss_frame,blitz,True,True
13,o3-2025-04-16,loss_frame,blitz,True,True
14,o3-2025-04-16,loss_frame,blitz,False,False
15,o3-2025-04-16,loss_frame,blitz,True,True
16,o3-2025-04-16,loss_frame,blitz,True,True
17,o3-2025-04-16,loss_frame,blitz,False,True
18,o3-2025-04-16,loss_frame,control,True,True
19,o3-2025-04-16,loss_frame,blitz,False,False
20,o3-2025-04-16,loss_frame,blitz,True,True
21,o3-2025-04-16,loss_frame,blitz,True,True
22,o3-2025-04-16,loss_frame,blitz,False,True
23,o3-2025-04-16,loss_frame,blitz,False,True
24,o3-2025-04-16,loss_frame,blitz,True,True
25,o3-2025-04-16,loss_frame,blitz,True,True
26,o3-2025-04-16,gain_frame,attack,True,True
27,o3-2025-04-16,gain_frame,control,True,True
28,o3-2025-04-16,gain_frame,control,True,True
29,o3-2025-04-16,gain_frame,control,False,True
30,o3-2025-04-16,gain_frame,attack,True,False
31,o3-2025-04-16,gain_frame,control,True,True
32,o3-2025-04-16,gain_frame,attack,True,True
33,o3-2025-04-16,gain_frame,control,True,True
34,o3-2025-04-16,gain_frame,control,False,True
35,o3-2025-04-16,gain_frame,attack,False,False
36,o3-2025-04-16,gain_frame,attack,False,False
37,o3-2025-04-16,gain_frame,control,True,True
38,o3-2025-04-16,gain_frame,control,True,True
39,o3-2025-04-16,gain_frame,control,True,True
40,o3-2025-04-16,gain_frame,control,False,False
41,o3-2025-04-16,gain_frame,control,True,True
42,o3-2025-04-16,gain_frame,attack,True,True
43,o3-2025-04-16,gain_frame,control,True,True
44,o3-2025-04-16,gain_frame,control,True,True
45,o3-2025-04-16,gain_frame,control,True,True
46,o3-2025-04-16,gain_frame,attack,True,True
47,o3-2025-04-16,gain_frame,control,True,True
48,o3-2025-04-16,gain_frame,control,False,False
49,o3-2025-04-16,gain_frame,control,True,True
50,o3-2025-04-16,gain_frame,control,False,True
51,claude-sonnet-4,loss_frame,control,True,True
52,claude-sonnet-4,loss_frame,control,True,True
53,claude-sonnet-4,loss_frame,blitz,True,True
54,claude-sonnet-4,loss_frame,blitz,False,False
55,claude-sonnet-4,loss_frame,blitz,True,True
56,claude-sonnet-4,loss_frame,blitz,True,True
57,claude-sonnet-4,loss_frame,blitz,False,False
58,claude-sonnet-4,loss_frame,blitz,False,False
59,claude-sonnet-4,loss_frame,blitz,False,False
60,claude-sonnet-4,loss_frame,blitz,True,True
61,claude-sonnet-4,loss_frame,blitz,False,False
62,claude-sonnet-4,loss_frame,blitz,False,False
63,claude-sonnet-4,loss_frame,attack,False,False
64,claude-sonnet-4,loss_frame,blitz,False,False
65,claude-sonnet-4,loss_frame,blitz,True,True
66,claude-sonnet-4,loss_frame,blitz,True,True
67,claude-sonnet-4,loss_frame,blitz,False,False
68,claude-sonnet-4,loss_frame,blitz,True,True
69,claude-sonnet-4,loss_frame,blitz,True,True
70,claude-sonnet-4,loss_frame,blitz,True,True
71,claude-sonnet-4,loss_frame,blitz,True,True
72,claude-sonnet-4,loss_frame,blitz,True,True
73,claude-sonnet-4,loss_frame,blitz,True,True
74,claude-sonnet-4,loss_frame,blitz,True,True
75,claude-sonnet-4,loss_frame,blitz,True,True
76,claude-sonnet-4,gain_frame,control,True,True
77,claude-sonnet-4,gain_frame,control,True,True
78,claude-sonnet-4,gain_frame,control,True,True
79,claude-sonnet-4,gain_frame,control,True,True
80,claude-sonnet-4,gain_frame,control,True,True
81,claude-sonnet-4,gain_frame,control,True,True
82,claude-sonnet-4,gain_frame,control,True,True
83,claude-sonnet-4,gain_frame,control,True,True
84,claude-sonnet-4,gain_frame,control,True,True
85,claude-sonnet-4,gain_frame,control,True,True
86,claude-sonnet-4,gain_frame,control,False,False
87,claude-sonnet-4,gain_frame,control,True,True
88,claude-sonnet-4,gain_frame,control,True,True
89,claude-sonnet-4,gain_frame,control,True,True
90,claude-sonnet-4,gain_frame,control,True,True
91,claude-sonnet-4,gain_frame,control,True,True
92,claude-sonnet-4,gain_frame,control,True,True
93,claude-sonnet-4,gain_frame,control,True,True
94,claude-sonnet-4,gain_frame,control,True,True
95,claude-sonnet-4,gain_frame,control,False,False
96,claude-sonnet-4,gain_frame,control,True,True
97,claude-sonnet-4,gain_frame,control,True,True
98,claude-sonnet-4,gain_frame,control,False,False
99,claude-sonnet-4,gain_frame,control,True,True
100,claude-sonnet-4,gain_frame,control,True,True
101,claude-sonnet-4-thinking,loss_frame,blitz,True,True
102,claude-sonnet-4-thinking,loss_frame,blitz,False,False
103,claude-sonnet-4-thinking,loss_frame,attack,False,False
104,claude-sonnet-4-thinking,loss_frame,blitz,False,True
105,claude-sonnet-4-thinking,loss_frame,blitz,True,True
106,claude-sonnet-4-thinking,loss_frame,blitz,True,False
107,claude-sonnet-4-thinking,loss_frame,attack,True,True
108,claude-sonnet-4-thinking,loss_frame,blitz,True,True
109,claude-sonnet-4-thinking,loss_frame,blitz,True,True
110,claude-sonnet-4-thinking,loss_frame,control,True,True
111,claude-sonnet-4-thinking,loss_frame,attack,True,True
112,claude-sonnet-4-thinking,loss_frame,blitz,True,True
113,claude-sonnet-4-thinking,loss_frame,blitz,True,True
114,claude-sonnet-4-thinking,loss_frame,blitz,True,True
115,claude-sonnet-4-thinking,loss_frame,attack,True,True
116,claude-sonnet-4-thinking,loss_frame,blitz,True,True
117,claude-sonnet-4-thinking,loss_frame,blitz,True,True
118,claude-sonnet-4-thinking,loss_frame,blitz,True,True
119,claude-sonnet-4-thinking,loss_frame,blitz,True,True
120,claude-sonnet-4-thinking,loss_frame,blitz,True,True
121,claude-sonnet-4-thinking,loss_frame,blitz,True,True
122,claude-sonnet-4-thinking,loss_frame,blitz,True,True
123,claude-sonnet-4-thinking,loss_frame,blitz,True,True
124,claude-sonnet-4-thinking,loss_frame,attack,True,True
125,claude-sonnet-4-thinking,loss_frame,blitz,True,True
126,claude-sonnet-4-thinking,gain_frame,control,True,True
